,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
1631,Male,Yes,82.0,Yes,Lawyer,5.0,High,2.0,6.0,7.1339999999999995,8.248,5.392,6.426,A
1632,Female,Yes,37.0,Yes,Engineer,1.0,Low,1.0,3.0,9.094,2.6639999999999997,14.468,7.472,C
1633,Male,No,45.0,Yes,Artist,1.0,Low,1.0,6.0,3.089,5.331,8.825,5.572,A
1635,Male,Yes,27.0,Yes,Entertainment,9.0,Low,4.0,6.0,10.696,6.026,11.780999999999999,10.588,C
1636,Female,No,18.0,No,Healthcare,1.0,Low,5.0,6.0,7.239,8.646,12.072000000000001,5.002,D
1637,Male,Yes,22.0,No,Doctor,1.0,Low,4.0,6.0,4.436,8.383,6.17,5.62,A
1638,Female,No,22.0,No,Healthcare,2.0,Low,6.0,6.0,6.234,2.722,2.426,-0.589,D
1639,Female,No,42.0,No,Homemaker,8.0,Low,1.0,3.0,6.145,4.752,-0.21,4.758,D
1641,Female,Yes,43.0,Yes,Homemaker,8.0,average,2.0,6.0,7.121,4.893,3.883,4.488,A
1642,Female,Yes,89.0,No,Lawyer,3.0,High,2.0,6.0,7.516,3.549,2.715,2.48,A
1643,Female,No,26.0,No,Healthcare,1.0,Low,4.0,3.0,10.744000000000002,11.427,11.418,2.072,C
1644,Male,No,43.0,Yes,Artist,1.0,Low,3.0,6.0,10.089,7.819,4.124,0.083,B
1645,Male,Yes,40.0,Yes,Entertainment,1.0,Average,2.0,3.0,16.522000000000002,3.287,7.266,5.984,C
1646,Female,Yes,60.0,Yes,Executive,0.0,Low,2.0,6.0,6.559,5.307,2.185,3.728,B
1647,Female,Yes,38.0,Yes,Doctor,7.0,High,4.0,3.0,13.651,4.556,7.827000000000001,1.9340000000000002,C
1649,Male,Yes,45.0,Yes,Entertainment,0.0,Average,2.0,4.0,8.876,5.494,2.69,3.2030000000000003,A
1650,Male,No,20.0,No,Healthcare,3.0,Low,4.0,4.0,9.367,5.962000000000001,3.3080000000000003,4.331,D
1651,Female,Yes,51.0,Yes,Marketing,9.0,Low,1.0,6.0,6.874,3.6660000000000004,3.514,3.052,A
1652,Male,Yes,36.0,Yes,Entertainment,1.0,average,4.0,3.0,9.6,7.635,11.394,8.075,C
1653,Female,No,41.0,No,Marketing,9.0,Low,3.0,3.0,5.189,8.202,2.253,1.999,B
1654,Male,Yes,40.0,No,Entertainment,1.0,average,5.0,6.0,14.195,9.753,9.78,8.267999999999999,D
1655,Female,No,30.0,Yes,Artist,9.0,Low,1.0,6.0,4.151,4.641,2.2319999999999998,7.104,A
1656,Female,No,23.0,No,Homemaker,0.0,Low,5.0,5.0,-2.259,4.717,4.558,-0.6809999999999999,B
1657,Male,Yes,39.0,Yes,Healthcare,4.0,Low,2.0,6.0,4.582,3.075,-0.968,-0.001,B
1658,Male,Yes,40.0,Yes,Artist,0.0,Average,4.0,6.0,4.34,4.961,1.556,3.9739999999999998,B
1659,Male,Yes,60.0,Yes,Artist,1.0,Average,3.0,6.0,14.208,12.898,5.064,8.462,C
1660,Male,No,20.0,No,Healthcare,1.0,Low,3.0,6.0,5.612,1.083,5.135,7.071000000000001,D
1661,Female,Yes,89.0,No,Lawyer,1.0,High,2.0,6.0,6.569,6.667000000000001,1.288,1.271,A
1663,Male,No,43.0,Yes,Executive,1.0,Low,4.0,6.0,9.488999999999999,7.682,7.682,1.714,A
1664,Female,Yes,70.0,No,Lawyer,3.0,High,2.0,6.0,6.625,3.733,5.875,3.509,A
1665,Male,No,35.0,Yes,Artist,9.0,Low,1.0,6.0,3.62,3.3760000000000003,4.821000000000001,5.3020000000000005,A
1666,Male,Yes,42.0,Yes,Artist,0.0,High,2.0,6.0,5.49,2.4659999999999997,2.356,1.385,B
1667,Male,Yes,39.0,Yes,Doctor,6.0,Average,2.0,3.0,9.475,3.7969999999999997,9.003,9.963,C
1668,Female,Yes,29.0,Yes,Healthcare,0.0,Low,2.0,6.0,3.761,7.89,6.336,-0.10300000000000001,A
1669,Female,No,38.0,No,Homemaker,8.0,Low,3.0,6.0,1.354,8.094,2.051,4.845,A
1670,Female,Yes,74.0,No,Lawyer,1.0,Low,1.0,6.0,5.774,7.002999999999999,5.507000000000001,10.171,A
1671,Male,Yes,41.0,Yes,Artist,1.0,Low,2.0,6.0,11.714,9.919,8.435,3.989,C
1672,Male,Yes,51.0,Yes,Entertainment,0.0,Average,4.0,7.0,12.757,3.428,20.897,11.38,C
1673,Male,Yes,50.0,Yes,Executive,1.0,average,3.0,6.0,13.502,9.69,8.544,7.307,C
1674,Male,No,23.0,No,Marketing,0.0,Low,3.0,6.0,9.746,3.1510000000000002,6.239,5.224,D
1675,Male,No,36.0,Yes,Artist,9.0,average,3.0,6.0,6.972,4.111000000000001,4.708,4.785,A
1676,Male,No,36.0,Yes,Artist,8.0,Low,1.0,6.0,9.581,1.012,4.91,1.043,B
1677,Female,Yes,50.0,Yes,Doctor,1.0,Low,2.0,6.0,7.83,4.784,7.678999999999999,9.596,D
1678,Male,No,23.0,No,Healthcare,1.0,average,4.0,3.0,8.865,2.062,6.449,-0.708,D
1680,Male,Yes,65.0,Yes,Executive,0.0,High,4.0,6.0,0.33899999999999997,5.636,14.039000000000001,10.712,C
1681,Female,No,26.0,Yes,Healthcare,0.0,Low,1.0,6.0,8.523,8.139,8.939,6.303,D
1682,Male,Yes,55.0,Yes,Entertainment,1.0,average,3.0,6.0,7.452999999999999,6.162999999999999,4.706,-0.22699999999999998,A
1683,Male,Yes,65.0,Yes,Executive,0.0,High,2.0,6.0,23.897,4.0680000000000005,15.946,3.989,C
1684,Female,Yes,72.0,Yes,Lawyer,1.0,High,2.0,6.0,7.9270000000000005,4.9030000000000005,3.887,7.07,A
1685,Male,Yes,51.0,Yes,Artist,7.0,Average,2.0,6.0,11.63,16.184,12.380999999999998,9.645,C
1686,Male,No,25.0,Yes,Artist,1.0,Low,5.0,6.0,4.215,1.358,4.439,5.539,D
1687,Male,Yes,38.0,No,Executive,0.0,High,3.0,6.0,16.018,8.414,11.157,2.276,C
1688,Male,Yes,55.0,No,Artist,1.0,Average,2.0,6.0,6.484,5.438,2.3409999999999997,6.534,A
1689,Male,Yes,46.0,No,Artist,0.0,Average,3.0,6.0,6.124,2.255,9.75,8.787,C
1690,Female,No,39.0,Yes,Artist,0.0,Low,3.0,6.0,2.824,1.1640000000000001,4.477,2.987,B
1691,Female,Yes,62.0,Yes,Artist,0.0,High,2.0,6.0,9.317,7.221,4.643,1.8880000000000001,B
1692,Female,Yes,37.0,Yes,Artist,4.0,Average,2.0,2.0,15.368,12.787,4.966,7.1579999999999995,C
1693,Female,No,28.0,No,Engineer,3.0,Low,7.0,4.0,5.575,7.067,5.557,-2.025,A
1694,Female,No,32.0,Yes,Marketing,1.0,Low,6.0,6.0,9.617,7.553999999999999,10.297,2.73,B
1696,Female,No,31.0,No,Healthcare,1.0,Low,3.0,6.0,9.042,4.211,8.205,3.878,D
1697,Male,No,43.0,Yes,Artist,8.0,Low,3.0,6.0,4.637,2.895,4.031000000000001,5.354,A
1698,Male,Yes,67.0,Yes,Artist,1.0,Average,2.0,6.0,-2.04,2.461,4.236000000000001,-2.3609999999999998,B
1699,Female,No,72.0,Yes,Lawyer,0.0,Low,1.0,6.0,6.353,7.072,5.4270000000000005,8.325,C
1700,Female,Yes,57.0,No,Engineer,0.0,Low,3.0,6.0,-2.068,1.331,-1.209,-0.992,B
1702,Male,Yes,36.0,Yes,Entertainment,4.0,Average,2.0,6.0,0.365,-0.025,2.384,-0.9790000000000001,B
1703,Female,No,21.0,No,Homemaker,9.0,Low,1.0,6.0,5.797999999999999,6.678,6.646,6.256,D
1704,Male,Yes,47.0,No,Entertainment,1.0,Average,5.0,6.0,19.202,6.747999999999999,14.797,4.187,C
1705,Female,No,25.0,Yes,Entertainment,8.0,Low,3.0,6.0,7.104,6.336,0.664,8.625,D
1706,Female,Yes,41.0,No,Engineer,9.0,average,2.0,3.0,3.0780000000000003,6.579,6.156000000000001,-1.097,B
1707,Male,No,29.0,Yes,Healthcare,0.0,Low,4.0,6.0,8.818,4.979,4.099,6.702999999999999,A
1708,Male,No,21.0,No,Healthcare,0.0,average,3.0,4.0,6.917000000000001,5.7379999999999995,10.862,-3.7260000000000004,D
1709,Male,Yes,66.0,Yes,Lawyer,0.0,Low,1.0,6.0,11.18,5.433,16.465,8.524,C
1710,Male,Yes,27.0,Yes,Entertainment,10.0,Low,2.0,6.0,-0.7959999999999999,2.1959999999999997,5.881,3.0410000000000004,B
1711,Female,No,27.0,No,Homemaker,1.0,Low,4.0,6.0,6.5920000000000005,5.6979999999999995,9.035,11.991,C
1712,Male,Yes,52.0,Yes,Artist,4.0,Low,1.0,6.0,17.955,3.8939999999999997,9.031,12.675999999999998,C
1713,Male,Yes,46.0,Yes,Artist,1.0,Average,3.0,6.0,14.64,-0.614,6.2170000000000005,12.673,C
1714,Female,No,23.0,No,Healthcare,0.0,average,4.0,3.0,5.702999999999999,4.334,2.075,7.626,D
1715,Male,No,27.0,Yes,Entertainment,0.0,Low,5.0,6.0,10.129,2.589,-2.568,1.49,B
1716,Female,Yes,52.0,Yes,Doctor,1.0,Low,3.0,4.0,3.9930000000000003,1.271,6.349,3.071,B
1717,Male,Yes,65.0,No,Artist,0.0,Average,2.0,4.0,8.772,8.526,3.641,4.086,A
1718,Male,No,42.0,No,Entertainment,1.0,Low,3.0,3.0,7.9879999999999995,-5.515,5.757000000000001,8.873,D
1719,Male,Yes,59.0,No,Entertainment,1.0,Low,2.0,6.0,8.187000000000001,7.877999999999999,4.197,1.902,A
1720,Female,Yes,45.0,Yes,Lawyer,0.0,Low,1.0,6.0,0.27399999999999997,6.061,1.117,-1.986,B
1721,Male,Yes,18.0,No,Executive,1.0,Average,3.0,3.0,8.959,3.696,10.874,4.599,D
1722,Female,Yes,61.0,No,Engineer,1.0,High,3.0,4.0,0.11699999999999999,7.058,4.3180000000000005,4.446000000000001,B
1724,Female,Yes,37.0,Yes,Doctor,1.0,Average,2.0,6.0,9.154,4.572,9.429,8.196,C
1725,Male,Yes,63.0,Yes,Executive,0.0,High,5.0,6.0,9.306000000000001,-2.334,6.382999999999999,11.629000000000001,D
1726,Female,No,33.0,No,Marketing,1.0,Low,5.0,4.0,11.686,7.23,4.902,1.374,D
1727,Female,Yes,50.0,Yes,Artist,1.0,Low,3.0,4.0,16.385,12.137,9.979,9.383,C
1728,Female,Yes,62.0,Yes,Artist,1.0,average,2.0,6.0,17.845,10.509,14.456,10.717,C
1729,Male,Yes,49.0,Yes,Artist,1.0,Average,8.0,4.0,16.288,8.504,15.212,8.661,C
1730,Male,Yes,46.0,Yes,Homemaker,6.0,Average,3.0,3.0,10.965,11.081,19.383,6.274,C
1732,Male,Yes,53.0,Yes,Executive,1.0,High,4.0,6.0,9.458,0.253,3.952,6.807,C
1733,Female,Yes,42.0,Yes,Artist,2.0,High,2.0,6.0,12.741,5.819,15.190999999999999,7.002999999999999,C
1734,Female,Yes,28.0,Yes,Artist,0.0,average,1.0,5.0,6.129,4.513,5.626,4.736000000000001,A
1735,Female,Yes,49.0,Yes,Engineer,1.0,Average,4.0,6.0,4.416,5.705,-3.6889999999999996,0.182,B
1736,Male,Yes,35.0,Yes,Artist,1.0,Average,2.0,6.0,5.347,3.679,2.5669999999999997,2.8689999999999998,B
1737,Female,Yes,27.0,No,Doctor,0.0,Low,3.0,3.0,8.731,1.739,12.283,1.2930000000000001,C
1738,Male,Yes,58.0,Yes,Lawyer,0.0,High,2.0,6.0,11.04,9.11,5.398,-1.751,B
1739,Male,Yes,41.0,No,Artist,8.0,Average,2.0,6.0,8.081,11.463,6.455,8.462,C
1740,Male,Yes,32.0,Yes,Entertainment,9.0,Average,2.0,6.0,9.033,0.44,7.591,1.321,D
1741,Male,No,33.0,No,Entertainment,0.0,Low,2.0,6.0,8.017999999999999,9.266,1.845,5.001,A
1743,Female,No,31.0,No,Doctor,6.0,Low,4.0,6.0,10.167,2.76,8.719,5.939,D
1744,Female,Yes,68.0,No,Lawyer,1.0,High,3.0,6.0,11.025,11.777999999999999,12.405,1.899,D
1745,Female,No,39.0,No,Engineer,4.0,Low,3.0,3.0,8.225,6.251,4.782,4.601,D
1746,Female,No,21.0,No,Healthcare,1.0,Low,5.0,4.0,10.770999999999999,7.772,4.963,1.389,D
1747,Female,Yes,39.0,No,Artist,1.0,Average,3.0,6.0,7.13,5.016,-0.5660000000000001,4.2330000000000005,B
1748,Female,Yes,41.0,Yes,Artist,9.0,Low,1.0,6.0,3.952,8.494,6.6129999999999995,19.195999999999998,C
1749,Male,Yes,49.0,Yes,Artist,1.0,Average,4.0,6.0,7.608,7.699,3.804,11.674000000000001,C
1750,Female,Yes,38.0,Yes,Executive,0.0,Average,2.0,6.0,6.827000000000001,4.812,6.345,2.866,A
1751,Female,Yes,36.0,Yes,Executive,1.0,High,3.0,3.0,5.994,6.142,6.7,1.258,A
1752,Female,Yes,52.0,Yes,Artist,9.0,Low,4.0,6.0,15.745,1.712,14.985999999999999,17.204,C
1753,Female,No,46.0,Yes,Artist,6.0,average,2.0,6.0,10.94,12.562999999999999,17.031,-1.9680000000000002,C
1754,Male,No,28.0,No,Doctor,4.0,Low,3.0,6.0,9.315,8.892000000000001,14.577,5.999,C
1755,Female,Yes,55.0,Yes,Artist,0.0,High,5.0,6.0,5.14,5.755,8.886000000000001,-0.7879999999999999,B
1756,Female,No,41.0,Yes,Healthcare,1.0,Low,1.0,6.0,0.735,4.696000000000001,5.595,7.972,D
1757,Male,Yes,47.0,No,Executive,0.0,High,2.0,7.0,-0.892,5.0489999999999995,5.013999999999999,2.124,B
1758,Male,Yes,52.0,Yes,Artist,0.0,Low,3.0,4.0,8.302,1.5319999999999998,3.842,5.21,A
1759,Female,Yes,45.0,Yes,Artist,4.0,High,4.0,6.0,18.038,5.6129999999999995,14.583,9.649,C
1760,Male,No,32.0,No,Healthcare,1.0,Low,3.0,6.0,7.186,0.722,5.439,5.359,D
1761,Male,Yes,78.0,Yes,Lawyer,1.0,Low,1.0,6.0,-0.86,0.505,10.828,3.045,B
1763,Male,Yes,39.0,No,Executive,1.0,Average,7.0,4.0,2.076,9.308,8.315,0.354,D
1764,Male,Yes,38.0,No,Doctor,0.0,average,4.0,6.0,7.356,1.689,3.9189999999999996,0.255,D
1765,Female,Yes,50.0,Yes,Artist,1.0,Average,4.0,6.0,12.116,7.244,7.36,10.945,C
1766,Female,Yes,53.0,Yes,Engineer,8.0,average,4.0,6.0,4.166,7.3229999999999995,5.7989999999999995,5.478,A
1767,Male,No,43.0,Yes,Artist,1.0,Low,1.0,3.0,7.156000000000001,4.5889999999999995,2.5580000000000003,6.586,A
1768,Male,Yes,59.0,Yes,Artist,1.0,Average,3.0,6.0,16.531,3.963,17.939,2.0980000000000003,C
1769,Female,No,38.0,No,Entertainment,8.0,Low,2.0,6.0,2.576,0.5529999999999999,1.348,-1.65,B
1770,Male,Yes,42.0,Yes,Artist,2.0,Average,2.0,6.0,13.450999999999999,10.126,4.586,9.932,C
1771,Male,Yes,65.0,Yes,Artist,0.0,Average,2.0,6.0,6.32,3.7939999999999996,8.908,13.065999999999999,C
1772,Male,Yes,79.0,Yes,Lawyer,0.0,Low,2.0,6.0,5.763,3.8160000000000003,5.119,4.649,A
1773,Female,No,41.0,Yes,Artist,1.0,average,1.0,4.0,11.175999999999998,2.997,-2.1630000000000003,3.7489999999999997,D
1774,Male,Yes,42.0,Yes,Entertainment,9.0,Low,2.0,6.0,8.988,1.085,6.242000000000001,5.085,A
1775,Male,Yes,28.0,No,Executive,1.0,average,7.0,4.0,4.725,3.84,3.1910000000000003,5.074,A
1776,Male,Yes,49.0,Yes,Doctor,1.0,Average,2.0,6.0,10.715,6.836,10.517999999999999,7.308,C
1777,Male,Yes,58.0,Yes,Artist,1.0,Low,2.0,7.0,1.9580000000000002,8.811,3.205,4.587,B
1778,Male,Yes,69.0,Yes,Lawyer,0.0,High,3.0,6.0,4.939,4.476,5.504,4.371,A
1779,Female,No,35.0,Yes,Artist,3.0,average,1.0,6.0,3.31,5.421,16.307000000000002,6.169,C
1780,Female,Yes,47.0,No,Engineer,0.0,High,2.0,4.0,9.554,5.09,3.8819999999999997,6.712000000000001,A
1781,Female,No,25.0,Yes,Marketing,12.0,average,1.0,6.0,8.306000000000001,6.546,3.095,9.386000000000001,D
1783,Female,No,25.0,No,Engineer,8.0,Low,3.0,6.0,15.095,5.38,5.44,7.66,D
1784,Male,Yes,76.0,No,Lawyer,0.0,average,1.0,6.0,2.677,3.286,7.172000000000001,2.8810000000000002,A
1785,Female,No,23.0,No,Healthcare,0.0,Low,5.0,5.0,2.2159999999999997,11.282,5.455,8.769,D
1786,Male,No,38.0,Yes,Marketing,3.0,Low,3.0,6.0,9.325,0.596,5.622999999999999,1.217,D
1787,Female,Yes,49.0,Yes,Artist,0.0,average,3.0,6.0,16.499000000000002,9.717,10.620999999999999,9.166,C
1789,Female,Yes,71.0,Yes,Artist,1.0,High,2.0,6.0,10.061,7.947,11.626,3.858,C
1790,Female,No,39.0,No,Engineer,0.0,Low,3.0,3.0,3.512,3.266,5.061,5.43,A
1791,Female,No,41.0,Yes,Artist,8.0,Low,3.0,6.0,6.421,6.3020000000000005,3.31,-0.053,A
1792,Male,Yes,66.0,No,Lawyer,1.0,Low,3.0,4.0,6.622999999999999,10.999,3.571,5.093,D
1793,Female,Yes,27.0,No,Homemaker,10.0,Low,1.0,6.0,8.449,5.6739999999999995,4.718999999999999,-2.102,D
1795,Female,Yes,40.0,Yes,Artist,2.0,Average,2.0,6.0,15.287,7.96,6.7170000000000005,12.37,C
1796,Female,Yes,33.0,No,Artist,1.0,Low,2.0,1.0,5.888,9.862,7.44,5.255,B
1797,Female,No,21.0,No,Executive,8.0,Low,3.0,7.0,4.638999999999999,7.528,2.58,-1.196,D
1798,Female,Yes,49.0,No,Engineer,0.0,average,1.0,6.0,4.815,3.036,2.19,3.3539999999999996,A
1799,Male,Yes,42.0,No,Engineer,9.0,Low,3.0,6.0,12.220999999999998,3.2260000000000004,5.485,2.529,D
1800,Male,No,39.0,Yes,Artist,0.0,Low,1.0,6.0,2.841,3.8110000000000004,8.152000000000001,2.803,A
1802,Male,Yes,57.0,Yes,Artist,1.0,average,1.0,6.0,6.037000000000001,5.409,7.756,3.9730000000000003,A
1803,Male,No,38.0,Yes,Artist,0.0,Low,1.0,6.0,5.709,2.5140000000000002,11.195,4.242,A
1804,Female,Yes,35.0,No,Engineer,2.0,Average,5.0,4.0,8.328,3.535,10.867,-0.098,D
1805,Female,Yes,41.0,Yes,Marketing,0.0,Low,3.0,6.0,3.221,1.8330000000000002,6.105,7.172000000000001,D
1806,Male,Yes,40.0,Yes,Artist,0.0,Average,4.0,4.0,9.349,6.896,1.932,7.136,C
1807,Female,No,32.0,Yes,Healthcare,1.0,Low,3.0,3.0,13.133,0.217,13.019,3.498,C
1808,Male,Yes,53.0,Yes,Artist,0.0,Average,4.0,6.0,9.74,7.52,5.5760000000000005,0.451,B
1809,Female,Yes,38.0,Yes,Homemaker,8.0,Average,3.0,6.0,5.638,2.835,-0.27699999999999997,3.7739999999999996,B
1810,Female,Yes,68.0,No,Marketing,0.0,Low,2.0,6.0,8.788,3.448,0.35100000000000003,5.6579999999999995,D
1811,Male,No,30.0,No,Executive,1.0,Low,2.0,6.0,6.746,3.347,-2.517,2.59,D
1812,Male,Yes,52.0,No,Entertainment,4.0,Average,5.0,6.0,10.526,3.885,6.669,7.29,C
1813,Male,Yes,80.0,Yes,Lawyer,1.0,Low,1.0,6.0,4.676,3.767,6.065,3.173,A
1814,Female,No,31.0,Yes,Healthcare,1.0,Low,7.0,6.0,5.682,2.8289999999999997,3.512,4.673,A
1815,Female,Yes,38.0,No,Executive,1.0,Average,4.0,4.0,6.276,6.624,2.447,4.105,A
1816,Male,Yes,87.0,No,Executive,0.0,High,2.0,6.0,10.411,7.237,6.056,12.42,C
1817,Male,No,23.0,No,Healthcare,1.0,Low,4.0,6.0,12.904000000000002,4.276,3.417,3.696,D
1818,Male,No,40.0,Yes,Artist,5.0,Low,1.0,4.0,12.965,10.649000000000001,15.886,13.002,C
1819,Male,Yes,36.0,Yes,Artist,9.0,Average,4.0,7.0,3.3930000000000002,5.507000000000001,4.251,6.5889999999999995,A
1820,Male,Yes,41.0,No,Executive,1.0,High,2.0,4.0,6.721,3.4810000000000003,2.459,0.701,B
1821,Female,Yes,48.0,Yes,Artist,0.0,Low,4.0,6.0,18.983,7.446000000000001,8.505,12.609000000000002,C
1822,Male,Yes,70.0,Yes,Executive,1.0,High,5.0,3.0,-1.419,1.2229999999999999,2.28,-0.183,B
1823,Female,Yes,84.0,Yes,Lawyer,3.0,High,2.0,6.0,5.081,5.733,1.105,3.907,A
1824,Male,Yes,39.0,Yes,Healthcare,11.0,average,2.0,2.0,17.328,6.446000000000001,11.582,3.195,D
1825,Female,No,39.0,Yes,Artist,0.0,Low,1.0,6.0,8.386000000000001,3.753,4.466,4.652,A
1826,Male,Yes,40.0,Yes,Artist,1.0,Average,4.0,6.0,10.502,4.99,14.39,2.717,C
1828,Male,Yes,39.0,Yes,Artist,1.0,Average,2.0,4.0,7.301,6.932,9.874,7.1339999999999995,C
1829,Male,Yes,38.0,Yes,Artist,4.0,Average,3.0,6.0,5.178999999999999,-0.14300000000000002,15.187000000000001,19.345,C
1830,Male,Yes,71.0,No,Lawyer,1.0,High,2.0,6.0,4.479,1.765,7.555,6.162999999999999,B
1831,Female,No,35.0,Yes,Artist,10.0,Low,1.0,6.0,5.956,6.672000000000001,6.138,4.325,A
1832,Male,Yes,27.0,Yes,Healthcare,5.0,Low,5.0,6.0,3.71,0.24,12.17,9.933,D
1833,Male,Yes,33.0,No,Healthcare,8.0,Average,3.0,6.0,13.638,0.67,6.1610000000000005,9.175,C
1834,Male,Yes,37.0,No,Artist,1.0,average,3.0,4.0,5.099,-1.133,4.635,4.383,B
1835,Male,Yes,74.0,Yes,Lawyer,1.0,High,2.0,6.0,4.154,3.141,5.985,2.622,B
1836,Male,No,20.0,No,Marketing,0.0,Low,2.0,6.0,14.154000000000002,3.3810000000000002,1.857,3.3689999999999998,D
1837,Female,Yes,30.0,No,Entertainment,1.0,average,4.0,5.0,0.076,5.8420000000000005,6.877999999999999,3.307,D
1838,Male,No,22.0,No,Doctor,0.0,Low,4.0,6.0,2.6010000000000004,-1.972,6.9079999999999995,-0.726,B
1839,Female,No,43.0,Yes,Homemaker,9.0,Low,1.0,6.0,7.507000000000001,4.6610000000000005,8.99,1.805,A
1840,Male,No,36.0,Yes,Artist,11.0,Low,2.0,6.0,16.817,4.063,17.884,4.669,C
1841,Male,No,29.0,Yes,Healthcare,4.0,Low,2.0,6.0,11.607999999999999,5.619,5.902,8.459,C
1842,Female,No,43.0,Yes,Entertainment,0.0,average,6.0,6.0,6.348,3.332,5.379,3.786,A
1843,Male,No,38.0,Yes,Entertainment,7.0,Low,1.0,6.0,12.373,2.315,1.814,3.3989999999999996,D
1844,Female,Yes,40.0,Yes,Artist,5.0,High,5.0,0.0,7.104,8.396,2.127,3.783,B
1845,Female,Yes,68.0,Yes,Lawyer,9.0,average,4.0,6.0,16.804000000000002,2.638,1.643,12.343,C
1846,Male,Yes,57.0,Yes,Artist,1.0,average,3.0,6.0,16.79,3.215,13.248,6.521,C
1847,Female,No,35.0,Yes,Entertainment,9.0,Low,2.0,6.0,5.769,2.235,6.954,3.109,A
1848,Female,No,23.0,No,Doctor,7.0,Low,4.0,2.0,15.834000000000001,9.116,5.2170000000000005,11.009,C
1849,Male,No,50.0,Yes,Artist,1.0,Low,1.0,6.0,2.897,5.172999999999999,-0.733,0.486,B
1850,Female,No,32.0,Yes,Doctor,0.0,Low,5.0,6.0,13.982999999999999,8.535,8.119,1.3940000000000001,D
1851,Male,Yes,59.0,Yes,Entertainment,9.0,Low,1.0,6.0,8.652000000000001,6.2410000000000005,5.03,2.526,A
1852,Female,No,30.0,Yes,Healthcare,3.0,Low,5.0,6.0,1.466,8.702,8.209,0.653,B
1853,Female,No,35.0,Yes,Artist,0.0,Low,1.0,6.0,8.196,4.026,8.452,1.5430000000000001,A
1854,Male,No,48.0,Yes,Healthcare,1.0,Low,2.0,6.0,5.197,0.2,8.502,0.507,D
1857,Male,Yes,38.0,Yes,Artist,1.0,Average,3.0,2.0,7.577999999999999,13.267999999999999,17.037,3.082,C
1859,Male,No,20.0,No,Healthcare,0.0,Low,4.0,6.0,4.948,-1.058,5.936,-0.146,D
1860,Male,No,29.0,No,Healthcare,6.0,Low,3.0,6.0,10.402999999999999,5.037,5.011,8.941,C
1861,Male,Yes,42.0,No,Executive,3.0,High,3.0,4.0,6.6,7.705,0.9079999999999999,3.324,A
1862,Female,Yes,40.0,Yes,Entertainment,1.0,Low,1.0,6.0,4.44,5.468999999999999,4.441,3.235,D
1863,Female,Yes,37.0,No,Engineer,1.0,Average,6.0,4.0,1.6740000000000002,5.65,0.7070000000000001,-4.76,B
1864,Female,Yes,52.0,No,Artist,0.0,Average,4.0,6.0,11.261,5.718999999999999,1.474,2.701,C
1865,Male,No,53.0,Yes,Artist,0.0,Low,2.0,4.0,25.471,12.204,21.158,13.504000000000001,C
1866,Male,Yes,30.0,No,Artist,9.0,High,6.0,2.0,2.96,5.653,5.4079999999999995,2.38,A
1867,Female,Yes,65.0,Yes,Artist,1.0,Low,2.0,6.0,6.817,3.9,2.556,2.958,B
1868,Female,No,23.0,No,Healthcare,1.0,Low,3.0,6.0,2.5860000000000003,5.961,3.225,2.7239999999999998,D
1869,Female,No,32.0,No,Entertainment,0.0,Low,3.0,4.0,7.932,5.523,4.325,2.131,C
1870,Female,No,36.0,Yes,Homemaker,9.0,Low,1.0,2.0,3.863,7.702000000000001,3.049,1.64,A
1871,Male,No,27.0,No,Entertainment,1.0,average,3.0,4.0,5.059,-0.726,1.9569999999999999,2.333,B
1872,Male,Yes,36.0,Yes,Executive,0.0,average,2.0,3.0,0.868,1.17,-1.726,6.641,B
1873,Male,No,37.0,Yes,Artist,12.0,Low,1.0,6.0,1.5490000000000002,2.2159999999999997,6.361000000000001,2.819,B
1874,Male,No,29.0,No,Entertainment,0.0,Low,3.0,6.0,6.898,7.604,7.529,-1.297,D
1876,Male,No,27.0,Yes,Doctor,1.0,Low,6.0,4.0,5.515,8.423,8.169,2.8689999999999998,D
1877,Female,No,35.0,Yes,Engineer,2.0,Low,1.0,7.0,4.128,2.784,3.616,2.5810000000000004,B
1878,Male,No,40.0,Yes,Artist,1.0,Low,1.0,6.0,4.363,5.336,6.865,5.314,A
1879,Male,No,37.0,Yes,Entertainment,6.0,Low,4.0,2.0,7.087000000000001,9.175,3.4330000000000003,6.586,A
1880,Male,No,19.0,No,Healthcare,0.0,Low,5.0,4.0,9.791,4.0489999999999995,1.55,5.154,D
1881,Male,No,29.0,Yes,Healthcare,0.0,Low,4.0,6.0,13.942,6.275,2.503,2.569,D
1882,Female,Yes,53.0,Yes,Artist,0.0,Average,2.0,3.0,14.275,7.415,16.915,10.017000000000001,C
1883,Male,No,25.0,Yes,Healthcare,0.0,Low,3.0,3.0,10.692,4.435,6.609,5.247999999999999,D
1885,Male,Yes,48.0,Yes,Artist,1.0,average,6.0,6.0,1.176,8.725,1.3,0.467,B
1886,Female,No,26.0,No,Engineer,4.0,Low,1.0,7.0,6.781000000000001,1.631,7.17,5.9479999999999995,A
1887,Female,No,30.0,Yes,Healthcare,0.0,Low,4.0,6.0,4.13,2.638,-2.7569999999999997,4.102,D
1888,Male,No,30.0,No,Entertainment,1.0,Low,2.0,4.0,5.86,6.773,0.556,5.222,D
