,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group,Avg_Shop
1765,Male,Yes,73.0,No,Executive,1.0,high,3.0,6.0,18.026,4.739,12.631,7.092,C,10.622
1766,Female,Yes,38.0,Yes,Entertainment,1.0,average,2.0,6.0,4.284,5.608,3.972,4.16,A,4.506
1767,Female,No,40.0,Yes,Engineer,6.0,low,3.0,6.0,10.96,5.171,2.404,8.696,D,6.808
1768,Male,Yes,88.0,No,Executive,1.0,low,3.0,6.0,1.81,7.663,4.93,-2.295,D,3.027
1769,Female,No,29.0,Yes,Healthcare,1.0,low,4.0,6.0,17.304,10.305,9.738,5.724,D,10.768
1770,Male,Yes,27.0,Yes,Executive,1.0,high,2.0,6.0,5.272,5.474,9.478,1.656,A,5.47
1771,Female,Yes,40.0,Yes,Engineer,0.0,average,2.0,6.0,2.848,4.944,4.517,-2.015,B,2.573
1772,Male,Yes,82.0,Yes,Lawyer,1.0,average,1.0,6.0,6.988,8.019,1.963,1.688,A,4.664
1773,Female,No,38.0,Yes,Artist,7.0,low,1.0,6.0,7.208,4.004,6.175,-1.145,B,4.06
1774,Male,Yes,39.0,Yes,Doctor,0.0,average,3.0,6.0,2.988,6.4,5.127,0.26,B,3.694
1775,Male,Yes,39.0,Yes,Artist,0.0,average,2.0,2.0,16.053,13.309,10.333,5.86,C,11.389
1776,Male,No,47.0,Yes,Artist,0.0,low,1.0,6.0,6.455,3.316,6.028,-0.843,A,3.739
1777,Male,Yes,75.0,Yes,Lawyer,0.0,high,2.0,6.0,4.34,6.723,5.18,3.509,A,4.938
1778,Female,Yes,37.0,No,Marketing,0.0,low,4.0,6.0,12.538,5.217,-0.02,1.357,D,4.773
1779,Male,Yes,84.0,No,Lawyer,1.0,high,2.0,6.0,5.782,6.614,5.588,4.12,A,5.526
1780,Female,No,40.0,Yes,Entertainment,6.0,low,2.0,6.0,5.095,4.578,4.77,3.944,A,4.597
1781,Male,Yes,39.0,Yes,Doctor,0.0,average,2.0,1.0,14.215,-1.73,3.666,7.615,D,5.942
1782,Male,Yes,42.0,Yes,Artist,0.0,average,2.0,6.0,5.05,5.369,3.471,7.67,B,5.39
1783,Female,No,52.0,Yes,Doctor,1.0,low,1.0,4.0,4.599,5.269,3.421,-1.766,B,2.881
1784,Male,No,52.0,No,Artist,5.0,low,1.0,6.0,-2.916,6.532,2.498,-2.736,B,0.844
1785,Male,No,31.0,Yes,Entertainment,0.0,average,4.0,6.0,9.576,7.364,3.73,6.573,D,6.811
1786,Male,Yes,37.0,Yes,Marketing,1.0,average,2.0,6.0,8.026,4.125,9.364,3.41,D,6.231
1787,Male,Yes,79.0,Yes,Artist,0.0,high,2.0,6.0,9.234,9.912,5.408,1.502,C,6.514
1788,Female,No,28.0,Yes,Doctor,1.0,low,4.0,6.0,13.74,10.044,12.155,7.864,C,10.951
1789,Male,No,31.0,No,Healthcare,0.0,average,4.0,6.0,6.623,9.893,9.347,4.544,D,7.602
1790,Male,Yes,88.0,No,Executive,0.0,high,3.0,6.0,12.382,11.009,7.963,-6.273,D,6.27
1791,Female,No,51.0,Yes,Entertainment,4.0,low,1.0,6.0,7.815,3.169,6.345,4.765,A,5.524
1792,Male,Yes,38.0,Yes,Entertainment,1.0,low,2.0,6.0,-2.402,6.832,0.877,-6.253,D,-0.236
1793,Female,Yes,53.0,Yes,Artist,0.0,average,2.0,3.0,-1.113,4.835,1.007,2.172,B,1.725
1794,Female,No,43.0,Yes,Artist,8.0,low,2.0,6.0,3.324,-0.275,4.218,1.54,B,2.202
1795,Male,Yes,55.0,No,Executive,0.0,low,2.0,6.0,6.179,6.929,6.432,2.553,A,5.523
1796,Male,No,35.0,Yes,Artist,4.0,low,2.0,6.0,2.62,5.037,3.443,1.204,A,3.076
1797,Female,Yes,25.0,No,Engineer,1.0,average,2.0,4.0,5.485,2.184,6.703,5.29,A,4.916
1798,Male,Yes,58.0,Yes,Artist,6.0,average,4.0,6.0,2.614,12.33,4.954,11.829,C,7.932
1799,Female,No,32.0,Yes,Doctor,1.0,low,6.0,6.0,11.522,7.38,6.994,1.682,D,6.894
1800,Female,Yes,49.0,No,Artist,1.0,average,4.0,3.0,9.689,8.258,12.125,3.327,C,8.35
1801,Female,Yes,53.0,No,Entertainment,9.0,high,2.0,6.0,4.653,5.855,7.453,2.617,A,5.144
1802,Female,Yes,31.0,No,Engineer,9.0,average,4.0,6.0,7.83,3.259,8.303,3.259,A,5.663
1803,Male,No,39.0,Yes,Artist,1.0,low,2.0,6.0,5.687,3.051,1.922,2.039,B,3.175
1804,Male,No,42.0,Yes,Entertainment,1.0,low,1.0,6.0,7.225,5.5,2.921,0.454,A,4.025
1805,Male,No,20.0,No,Healthcare,1.0,low,5.0,2.0,13.287,5.256,5.917,2.334,D,6.698
1806,Male,Yes,50.0,Yes,Entertainment,1.0,low,2.0,6.0,2.861,5.257,2.531,5.501,A,4.038
1807,Male,No,26.0,No,Doctor,0.0,low,6.0,2.0,1.882,2.759,7.23,-2.394,B,2.369
1808,Male,Yes,46.0,Yes,Artist,1.0,average,3.0,6.0,9.493,11.799,7.035,18.26,C,11.647
1809,Male,No,30.0,Yes,Doctor,0.0,low,2.0,3.0,9.834,7.31,6.044,3.39,A,6.644
1810,Female,Yes,60.0,Yes,Doctor,6.0,average,2.0,6.0,16.658,17.354,4.709,7.285,C,11.502
1811,Male,Yes,84.0,No,Lawyer,0.0,low,1.0,6.0,9.209,3.809,-2.384,1.675,D,3.077
1812,Female,No,37.0,Yes,Homemaker,1.0,low,1.0,6.0,13.948,6.347,3.548,0.627,D,6.118
1813,Male,Yes,63.0,Yes,Artist,6.0,low,1.0,6.0,1.907,1.043,7.141,-1.173,B,2.23
1814,Female,No,38.0,Yes,Healthcare,0.0,low,2.0,6.0,7.314,3.178,6.762,6.189,D,5.861
1815,Male,Yes,51.0,Yes,Entertainment,0.0,average,4.0,6.0,6.198,3.135,10.999,5.6,C,6.483
1816,Male,No,20.0,No,Healthcare,0.0,low,4.0,6.0,7.99,1.512,1.655,9.968,D,5.281
1817,Female,No,25.0,No,Healthcare,14.0,low,3.0,6.0,11.659,1.953,5.756,1.772,D,5.285
1818,Female,No,33.0,Yes,Doctor,0.0,low,5.0,6.0,0.01,3.676,11.611,3.818,D,4.779
1819,Female,No,31.0,No,Engineer,0.0,low,1.0,6.0,5.926,4.751,1.098,4.061,D,3.959
1820,Male,Yes,57.0,Yes,Healthcare,1.0,low,3.0,6.0,-2.639,0.135,0.318,1.442,B,-0.186
1821,Male,Yes,42.0,Yes,Artist,1.0,low,4.0,6.0,7.01,7.124,5.874,-2.376,B,4.408
1822,Male,Yes,66.0,No,Lawyer,0.0,high,3.0,6.0,1.063,3.958,2.569,3.349,B,2.735
1823,Male,No,21.0,No,Homemaker,0.0,low,4.0,3.0,2.791,8.96,6.469,3.17,A,5.348
1824,Male,Yes,73.0,No,Executive,1.0,high,2.0,6.0,1.101,9.106,2.517,-1.71,B,2.754
1825,Female,Yes,46.0,Yes,Artist,0.0,low,2.0,6.0,11.362,4.396,17.306,19.773,C,13.209
1826,Female,Yes,66.0,Yes,Artist,0.0,average,2.0,6.0,7.44,8.253,8.347,9.069,C,8.277
1827,Male,Yes,27.0,Yes,Doctor,0.0,average,2.0,5.0,14.504,14.256,7.827,1.814,D,9.6
1828,Female,Yes,35.0,Yes,Homemaker,1.0,average,3.0,3.0,8.558,6.145,8.273,9.851,D,8.207
1829,Female,Yes,53.0,No,Artist,1.0,high,4.0,6.0,6.908,0.164,6.309,8.06,A,5.36
1830,Male,Yes,80.0,No,Lawyer,8.0,low,1.0,6.0,13.43,9.532,4.03,0.922,D,6.978
1831,Female,Yes,63.0,Yes,Artist,1.0,average,3.0,6.0,14.949,9.376,14.133,9.092,C,11.888
1832,Female,No,41.0,Yes,Doctor,9.0,low,1.0,4.0,3.475,5.144,3.957,4.999,A,4.394
1833,Male,Yes,43.0,Yes,Artist,1.0,average,4.0,6.0,8.894,5.692,5.536,8.633,C,7.189
1834,Female,No,18.0,No,Marketing,9.0,low,5.0,3.0,4.811,8.794,7.38,-2.697,B,4.572
1835,Female,No,33.0,Yes,Entertainment,1.0,low,4.0,6.0,1.156,3.93,7.758,7.631,B,5.119
1836,Male,No,30.0,No,Engineer,9.0,low,3.0,4.0,15.295,3.473,2.931,1.562,D,5.815
1837,Male,Yes,85.0,Yes,Executive,1.0,high,2.0,6.0,12.771,11.128,4.217,0.821,D,7.234
1838,Female,Yes,46.0,Yes,Artist,1.0,high,3.0,6.0,10.057,10.331,5.124,10.355,C,8.967
1839,Male,Yes,80.0,Yes,Lawyer,1.0,high,2.0,6.0,-0.713,3.284,5.193,-2.255,B,1.377
1840,Male,No,33.0,Yes,Artist,8.0,low,3.0,5.0,5.792,6.21,3.72,3.515,A,4.809
1841,Female,Yes,40.0,Yes,Artist,4.0,high,7.0,6.0,7.109,8.969,3.314,14.542,C,8.484
1842,Male,Yes,27.0,No,Entertainment,3.0,average,2.0,6.0,10.679,0.976,1.592,2.72,B,3.992
1843,Male,No,28.0,No,Healthcare,0.0,low,5.0,4.0,1.306,2.262,0.89,-3.53,B,0.232
1844,Female,Yes,35.0,Yes,Doctor,0.0,average,3.0,3.0,8.345,6.577,1.568,4.106,A,5.149
1845,Male,No,26.0,Yes,Entertainment,1.0,low,3.0,6.0,6.528,4.124,4.557,-0.819,D,3.597
1846,Female,Yes,39.0,Yes,Homemaker,1.0,average,3.0,3.0,4.327,8.316,6.935,2.795,A,5.593
1847,Female,Yes,56.0,Yes,Artist,1.0,high,4.0,2.0,3.766,2.119,0.017,4.072,B,2.494
1848,Female,No,26.0,Yes,Artist,13.0,low,2.0,6.0,-0.123,5.244,3.688,-1.896,B,1.728
1849,Male,Yes,31.0,Yes,Entertainment,4.0,low,2.0,6.0,4.869,0.842,2.074,-3.029,B,1.189
1850,Male,Yes,39.0,No,Entertainment,1.0,average,4.0,4.0,8.283,3.037,5.688,0.029,A,4.259
1851,Female,No,51.0,Yes,Artist,0.0,average,1.0,6.0,9.859,9.353,10.26,7.315,C,9.197
1852,Female,No,33.0,Yes,Homemaker,11.0,low,3.0,6.0,0.357,4.842,7.066,3.478,D,3.936
1853,Female,Yes,80.0,Yes,Lawyer,1.0,high,2.0,6.0,4.967,4.32,3.127,1.034,A,3.362
1854,Male,Yes,77.0,Yes,Executive,1.0,low,1.0,6.0,7.37,-1.187,1.538,3.743,D,2.866
1855,Female,No,40.0,No,Healthcare,1.0,low,5.0,4.0,12.74,4.649,4.876,5.933,D,7.05
1856,Female,Yes,33.0,No,Engineer,7.0,average,5.0,4.0,1.06,-1.062,-0.374,-1.255,B,-0.408
1857,Male,No,29.0,No,Artist,1.0,low,3.0,2.0,4.353,5.176,6.295,6.127,A,5.488
1858,Female,No,20.0,No,Healthcare,1.0,low,3.0,6.0,7.714,3.443,5.62,2.39,D,4.792
1859,Male,Yes,43.0,Yes,Artist,1.0,low,2.0,3.0,-5.006,2.74,5.238,-1.95,B,0.255
1860,Female,No,18.0,No,Healthcare,1.0,low,3.0,6.0,7.312,5.084,1.074,1.989,D,3.865
1861,Male,Yes,53.0,Yes,Artist,3.0,average,3.0,6.0,7.098,7.729,9.745,-0.187,B,6.096
1862,Male,Yes,28.0,Yes,Entertainment,3.0,average,3.0,7.0,8.746,1.708,5.899,-1.994,B,3.59
1863,Female,No,43.0,Yes,Entertainment,1.0,low,4.0,4.0,6.79,7.061,2.935,4.404,A,5.297
1864,Male,No,31.0,Yes,Entertainment,1.0,low,3.0,6.0,9.833,-0.941,3.146,0.794,D,3.208
1865,Female,No,28.0,Yes,Healthcare,1.0,low,2.0,3.0,15.745,3.661,0.125,11.471,D,7.75
1866,Male,Yes,65.0,Yes,Artist,1.0,low,2.0,6.0,7.478,5.043,3.649,3.287,A,4.864
1867,Male,Yes,33.0,Yes,Artist,0.0,average,2.0,6.0,2.31,1.34,6.395,-3.227,B,1.704
1868,Male,Yes,49.0,Yes,Artist,0.0,average,6.0,6.0,12.414,9.741,16.866,10.566,C,12.397
1869,Male,No,33.0,No,Healthcare,1.0,low,4.0,6.0,10.565,7.473,12.513,10.688,C,10.31
1870,Male,Yes,53.0,Yes,Artist,6.0,average,2.0,6.0,14.028,4.398,13.641,7.748,C,9.954
1871,Male,No,31.0,No,Entertainment,1.0,low,7.0,4.0,8.726,0.973,-5.962,0.331,D,1.017
1872,Male,No,31.0,No,Healthcare,1.0,low,7.0,6.0,7.906,3.765,11.735,2.946,D,6.588
1873,Female,No,30.0,Yes,Healthcare,1.0,low,2.0,3.0,3.069,4.294,3.634,4.542,A,3.885
1874,Male,Yes,63.0,Yes,Entertainment,1.0,average,2.0,6.0,17.065,14.978,15.196,5.416,C,13.164
1875,Male,Yes,69.0,No,Executive,9.0,average,2.0,6.0,2.146,4.705,4.427,2.458,B,3.434
1876,Male,No,29.0,Yes,Engineer,0.0,low,4.0,3.0,7.013,6.309,-0.019,8.892,D,5.549
1877,Female,Yes,56.0,No,Engineer,1.0,average,5.0,6.0,1.929,6.708,0.056,2.272,B,2.741
1878,Female,Yes,72.0,Yes,Artist,1.0,average,3.0,6.0,0.719,6.725,-0.509,1.741,B,2.169
1879,Male,Yes,88.0,No,Lawyer,1.0,low,1.0,2.0,5.392,3.282,4.834,4.606,A,4.528
1880,Male,No,30.0,No,Engineer,1.0,low,4.0,6.0,4.117,10.91,2.161,2.85,D,5.01
1881,Female,No,31.0,Yes,Healthcare,1.0,low,4.0,2.0,2.243,3.723,-0.061,-2.751,B,0.789
1882,Male,No,41.0,Yes,Artist,2.0,average,3.0,6.0,2.288,5.97,6.134,5.027,A,4.855
1883,Female,No,31.0,Yes,Healthcare,9.0,low,7.0,5.0,14.58,6.565,7.886,-0.649,D,7.095
1884,Male,No,20.0,No,Healthcare,1.0,low,5.0,3.0,6.611,0.052,6.358,8.501,D,5.38
1885,Female,Yes,26.0,No,Marketing,7.0,high,3.0,4.0,7.623,4.954,0.775,7.584,A,5.234
1886,Male,Yes,48.0,No,Entertainment,1.0,average,5.0,6.0,6.04,8.983,5.686,12.139,C,8.212
1887,Male,No,26.0,No,Healthcare,1.0,low,3.0,5.0,8.419,-1.588,-0.45,0.394,D,1.694
1888,Male,No,20.0,No,Healthcare,1.0,low,4.0,6.0,12.818,3.564,10.012,4.112,D,7.626
1889,Male,Yes,41.0,Yes,Artist,4.0,low,4.0,6.0,2.703,2.765,6.787,4.975,A,4.308
1890,Male,Yes,63.0,Yes,Homemaker,1.0,low,3.0,6.0,7.148,5.443,5.894,2.931,B,5.354
1891,Male,Yes,88.0,Yes,Executive,1.0,low,1.0,6.0,6.597,7.25,14.271,-4.708,D,5.853
1892,Female,No,39.0,Yes,Engineer,1.0,low,3.0,6.0,3.758,3.981,7.156,1.656,B,4.138
1893,Male,Yes,55.0,No,Engineer,1.0,high,4.0,6.0,6.221,3.125,2.57,1.887,A,3.451
1894,Male,No,32.0,Yes,Healthcare,1.0,low,3.0,6.0,11.013,1.118,7.351,2.157,D,5.41
1895,Male,No,32.0,Yes,Entertainment,1.0,low,3.0,6.0,0.892,0.438,5.878,10.28,D,4.372
1896,Female,Yes,38.0,Yes,Artist,0.0,average,3.0,6.0,5.048,5.431,5.629,4.37,A,5.119
1897,Male,No,18.0,No,Healthcare,1.0,average,5.0,4.0,11.797,3.454,6.733,1.543,D,5.882
1898,Male,Yes,67.0,No,Executive,1.0,high,2.0,6.0,9.653,2.102,8.616,4.194,D,6.141
1899,Female,Yes,42.0,Yes,Artist,9.0,low,2.0,6.0,7.228,5.31,5.709,7.656,B,6.476
1900,Female,No,45.0,Yes,Engineer,0.0,low,1.0,6.0,10.107,5.489,1.021,0.211,A,4.207
1901,Male,Yes,46.0,No,Doctor,0.0,average,3.0,4.0,12.382,7.924,7.126,-3.379,D,6.013
1902,Male,No,20.0,No,Healthcare,2.0,low,4.0,4.0,9.793,5.973,7.565,-1.027,D,5.576
1903,Female,Yes,41.0,Yes,Engineer,0.0,average,3.0,6.0,7.275,7.433,5.772,1.874,A,5.588
1904,Female,Yes,35.0,No,Engineer,7.0,average,4.0,4.0,6.576,-0.837,2.652,1.968,A,2.59
1905,Female,Yes,52.0,Yes,Artist,6.0,low,2.0,6.0,4.412,3.851,4.862,6.045,A,4.792
1906,Female,Yes,63.0,Yes,Artist,1.0,average,4.0,6.0,7.689,3.684,2.798,1.104,B,3.819
1907,Male,Yes,51.0,No,Executive,5.0,low,3.0,2.0,12.525,7.534,5.974,4.993,C,7.757
1908,Female,Yes,29.0,Yes,Entertainment,0.0,average,2.0,6.0,6.401,1.856,6.524,2.373,A,4.288
1909,Male,No,27.0,No,Doctor,0.0,low,4.0,6.0,0.822,3.222,0.889,-0.599,B,1.084
1910,Female,No,37.0,Yes,Doctor,1.0,low,1.0,4.0,4.515,7.296,4.569,1.893,A,4.568
1911,Female,Yes,29.0,No,Homemaker,1.0,average,2.0,4.0,4.392,4.639,8.43,0.704,C,4.541
1912,Male,Yes,74.0,Yes,Lawyer,1.0,low,1.0,6.0,6.185,9.186,-0.341,4.093,A,4.781
1913,Female,Yes,72.0,Yes,Artist,3.0,average,3.0,6.0,13.526,11.022,6.194,6.349,C,9.273
1914,Female,Yes,83.0,Yes,Lawyer,1.0,high,2.0,6.0,0.915,0.928,6.931,1.414,B,2.547
1915,Male,Yes,37.0,Yes,Engineer,1.0,average,3.0,3.0,4.809,8.043,4.28,5.98,A,5.778
1916,Female,No,19.0,No,Healthcare,0.0,low,3.0,6.0,12.592,2.368,9.81,2.486,D,6.814
1917,Female,No,30.0,No,Artist,1.0,low,1.0,6.0,0.855,3.773,5.247,1.72,B,2.899
1918,Female,No,40.0,Yes,Engineer,1.0,average,2.0,1.0,-2.953,7.09,5.723,-0.468,B,2.348
1919,Female,Yes,65.0,Yes,Doctor,1.0,low,2.0,6.0,1.214,4.118,5.177,-0.667,B,2.46
1920,Female,Yes,40.0,Yes,Lawyer,1.0,average,2.0,6.0,19.285,4.891,16.014,7.71,C,11.975
1921,Male,Yes,43.0,Yes,Entertainment,0.0,average,2.0,5.0,4.71,4.94,6.03,5.912,A,5.398
1922,Male,Yes,50.0,Yes,Executive,9.0,average,3.0,2.0,12.496,15.366,14.029,22.597,C,16.122
1923,Male,No,35.0,Yes,Artist,8.0,low,2.0,6.0,11.353,13.273,2.989,7.485,D,8.775
1924,Male,Yes,67.0,Yes,Lawyer,0.0,low,1.0,3.0,5.502,6.764,8.08,4.497,A,6.211
1925,Male,Yes,66.0,Yes,Executive,0.0,low,1.0,6.0,-1.535,2.777,10.945,-3.21,B,2.244
1926,Female,No,39.0,Yes,Artist,3.0,low,2.0,6.0,10.237,5.46,15.298,8.298,C,9.823
1927,Female,Yes,46.0,Yes,Homemaker,0.0,average,3.0,6.0,12.264,6.2,8.91,14.194,C,10.392
1928,Female,No,32.0,No,Homemaker,8.0,low,1.0,6.0,2.732,7.408,10.349,6.688,D,6.794
1929,Male,Yes,88.0,Yes,Lawyer,0.0,high,3.0,6.0,3.973,6.771,15.16,7.327,C,8.308
1930,Male,No,30.0,Yes,Healthcare,8.0,low,5.0,6.0,1.983,5.847,9.534,8.613,D,6.494
1931,Male,No,32.0,Yes,Entertainment,1.0,low,1.0,6.0,6.97,2.241,6.453,-0.279,A,3.846
1932,Male,Yes,43.0,No,Marketing,1.0,low,2.0,7.0,13.872,-4.749,7.719,7.974,D,6.204
1933,Female,Yes,55.0,No,Engineer,3.0,average,2.0,6.0,6.198,9.086,0.344,-0.41,B,3.804
1934,Female,Yes,47.0,Yes,Artist,0.0,average,3.0,6.0,17.796,-0.078,11.211,9.613,C,9.636
1935,Male,No,39.0,Yes,Artist,1.0,low,1.0,6.0,13.034,13.02,6.819,5.176,C,9.512
1936,Male,No,22.0,No,Healthcare,0.0,low,4.0,6.0,9.041,9.861,5.902,8.901,D,8.426
1937,Female,No,31.0,No,Healthcare,0.0,low,7.0,6.0,4.887,3.856,-0.628,0.126,B,2.06
1938,Male,No,27.0,Yes,Healthcare,1.0,average,3.0,2.0,5.26,2.984,9.721,1.092,D,4.764
1939,Male,No,19.0,No,Healthcare,0.0,low,4.0,6.0,7.127,11.893,13.115,0.4,D,8.134
1940,Male,Yes,69.0,No,Doctor,0.0,average,2.0,6.0,13.488,13.568,3.856,-7.357,C,5.889
1941,Male,Yes,37.0,No,Doctor,1.0,average,2.0,6.0,2.652,6.054,2.567,-0.746,B,2.632
1942,Male,Yes,45.0,Yes,Executive,0.0,high,2.0,6.0,3.814,11.318,14.489,6.477,C,9.024
1943,Female,No,22.0,No,Doctor,1.0,low,3.0,3.0,7.267,6.804,4.542,1.524,A,5.034
1944,Female,No,26.0,Yes,Doctor,0.0,low,3.0,6.0,3.5,1.164,5.666,-2.422,B,1.977
1945,Male,Yes,61.0,Yes,Entertainment,1.0,low,2.0,5.0,5.69,6.93,8.793,3.071,A,6.121
1946,Female,Yes,74.0,No,Lawyer,1.0,average,2.0,6.0,14.635,-2.359,10.639,10.985,C,8.475
1947,Male,No,29.0,Yes,Homemaker,5.0,low,1.0,6.0,18.254,9.239,-2.89,8.373,D,8.244
1948,Female,No,63.0,Yes,Doctor,0.0,low,2.0,6.0,7.824,1.859,4.887,-0.927,B,3.411
1949,Male,Yes,40.0,Yes,Artist,0.0,average,5.0,3.0,7.292,9.073,8.623,12.566,C,9.388
1950,Male,Yes,81.0,Yes,Lawyer,1.0,low,1.0,6.0,8.78,3.768,3.016,2.958,A,4.63
1951,Female,Yes,71.0,No,Lawyer,1.0,high,2.0,6.0,1.664,6.077,8.456,1.687,B,4.471
1952,Female,No,31.0,No,Healthcare,10.0,low,2.0,3.0,5.309,5.225,11.294,15.96,C,9.447
1953,Male,Yes,35.0,No,Homemaker,1.0,average,3.0,6.0,1.225,3.761,1.235,0.636,B,1.714
1954,Female,No,52.0,Yes,Artist,6.0,low,1.0,6.0,4.511,4.321,6.104,3.16,A,4.524
1955,Male,No,19.0,No,Healthcare,1.0,low,4.0,3.0,8.977,12.131,8.681,1.842,D,7.908
1956,Male,Yes,45.0,No,Artist,0.0,low,2.0,6.0,2.701,0.281,3.499,0.526,B,1.752
1957,Female,No,19.0,No,Marketing,1.0,low,4.0,6.0,12.234,9.868,2.014,-0.052,D,6.016
1958,Male,No,23.0,No,Healthcare,2.0,low,5.0,6.0,16.408,10.813,8.797,4.574,D,10.148
1959,Male,Yes,77.0,No,Lawyer,0.0,average,2.0,6.0,6.948,3.134,10.892,-0.06,D,5.228
1960,Female,Yes,84.0,Yes,Lawyer,0.0,low,1.0,6.0,3.906,4.046,5.128,1.163,B,3.561
1961,Male,Yes,47.0,No,Entertainment,1.0,high,4.0,4.0,4.14,4.983,12.426,9.837,D,7.846
1962,Male,No,29.0,Yes,Entertainment,6.0,low,3.0,6.0,6.309,5.88,4.417,1.693,A,4.575
1963,Female,No,35.0,Yes,Artist,8.0,low,3.0,2.0,6.846,4.506,4.253,6.417,A,5.506
1964,Male,Yes,40.0,Yes,Artist,14.0,low,2.0,6.0,10.756,7.282,10.778,10.611,C,9.857
1965,Male,No,35.0,No,Healthcare,1.0,low,1.0,6.0,13.484,4.918,-1.556,2.087,D,4.733
1966,Male,No,20.0,No,Healthcare,0.0,low,3.0,2.0,2.47,4.597,8.229,9.363,D,6.165
1967,Male,No,43.0,Yes,Entertainment,0.0,low,2.0,2.0,3.901,3.731,0.855,3.234,A,2.93
1968,Female,Yes,53.0,Yes,Artist,3.0,low,1.0,7.0,4.552,5.809,7.146,4.531,A,5.51
1969,Male,Yes,22.0,No,Executive,1.0,high,3.0,6.0,7.192,5.59,5.26,1.811,D,4.963
1970,Male,Yes,32.0,No,Healthcare,1.0,high,4.0,4.0,7.58,10.495,-2.332,1.262,D,4.251
1971,Male,Yes,51.0,No,Executive,2.0,high,5.0,6.0,7.564,5.407,2.742,3.562,A,4.819
1972,Female,No,41.0,No,Marketing,1.0,low,3.0,3.0,4.001,4.378,14.807,-0.808,D,5.594
1973,Male,Yes,37.0,No,Doctor,2.0,average,4.0,6.0,8.879,5.682,4.201,0.111,A,4.718
1974,Male,Yes,55.0,Yes,Artist,4.0,average,4.0,6.0,5.157,6.431,6.951,1.252,A,4.948
1975,Male,No,42.0,Yes,Entertainment,3.0,low,2.0,6.0,7.657,4.287,7.46,7.399,A,6.701
1976,Male,No,20.0,No,Healthcare,1.0,low,5.0,4.0,0.081,-5.02,2.298,3.527,D,0.222
1977,Female,No,42.0,Yes,Artist,12.0,low,2.0,4.0,8.213,7.268,3.955,3.232,A,5.667
1978,Female,Yes,38.0,No,Engineer,1.0,high,3.0,6.0,6.466,7.953,0.811,-0.226,B,3.751
1979,Female,No,52.0,Yes,Engineer,3.0,low,1.0,6.0,8.938,5.894,5.139,-0.494,A,4.869
1980,Female,Yes,48.0,Yes,Marketing,9.0,low,1.0,6.0,8.164,11.201,5.355,11.667,D,9.097
1981,Male,Yes,40.0,Yes,Entertainment,5.0,average,2.0,6.0,18.94,5.484,10.302,7.24,C,10.492
1982,Male,No,27.0,No,Doctor,1.0,low,3.0,6.0,4.685,6.382,3.626,-0.427,B,3.567
1983,Male,Yes,48.0,No,Artist,3.0,average,4.0,6.0,4.819,5.375,3.936,0.404,B,3.633
1984,Female,No,25.0,Yes,Marketing,5.0,low,2.0,4.0,3.297,3.212,4.026,2.936,D,3.368
1985,Female,No,40.0,Yes,Doctor,3.0,low,1.0,6.0,5.049,6.794,5.065,2.083,A,4.748
1986,Female,Yes,68.0,No,Lawyer,1.0,low,1.0,6.0,14.573,6.422,4.232,2.187,D,6.854
1987,Male,No,21.0,No,Healthcare,0.0,low,4.0,6.0,10.153,5.813,2.602,4.54,D,5.777
1988,Male,No,43.0,Yes,Artist,1.0,low,2.0,2.0,3.601,8.11,4.493,-1.919,B,3.571
1989,Male,Yes,52.0,Yes,Lawyer,8.0,high,2.0,6.0,4.594,9.166,9.154,5.757,C,7.168
1990,Male,Yes,50.0,No,Executive,0.0,average,5.0,6.0,4.208,6.512,-0.671,1.18,B,2.807
1991,Male,No,41.0,Yes,Entertainment,0.0,low,1.0,4.0,6.815,1.384,5.882,6.615,D,5.174
1992,Male,Yes,40.0,Yes,Entertainment,8.0,average,2.0,6.0,5.57,6.025,8.66,2.685,B,5.735
1993,Male,Yes,57.0,Yes,Homemaker,5.0,high,2.0,6.0,5.245,5.88,3.253,5.456,A,4.958
1994,Female,No,25.0,Yes,Artist,13.0,low,2.0,6.0,11.803,11.614,5.025,11.069,C,9.878
1995,Male,Yes,74.0,No,Lawyer,0.0,high,2.0,6.0,4.601,6.142,3.619,7.916,A,5.57
1996,Male,No,38.0,Yes,Entertainment,1.0,low,4.0,6.0,8.458,-0.667,1.956,2.604,D,3.088
1997,Female,Yes,46.0,Yes,Artist,0.0,average,2.0,6.0,12.488,7.825,8.247,9.553,C,9.528
1998,Female,No,50.0,Yes,Artist,1.0,low,1.0,6.0,15.066,1.156,5.029,1.037,D,5.572
1999,Male,Yes,50.0,Yes,Artist,0.0,average,2.0,3.0,1.952,4.232,4.087,-1.775,B,2.124
2000,Female,Yes,40.0,Yes,Lawyer,0.0,average,2.0,6.0,6.215,13.154,8.702,17.202,C,11.318
2001,Male,No,29.0,Yes,Artist,0.0,low,1.0,6.0,5.887,2.902,5.703,4.164,A,4.664
2002,Male,Yes,84.0,Yes,Lawyer,1.0,high,3.0,6.0,-0.25,0.494,7.515,-3.872,B,0.972
2003,Male,Yes,38.0,No,Executive,9.0,high,5.0,6.0,1.764,5.527,6.915,3.928,B,4.534
2004,Male,Yes,71.0,No,Lawyer,0.0,average,3.0,6.0,8.524,7.258,3.452,3.723,A,5.739
