Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
Female,No,23.0,No,Healthcare,2.0,low,5.0,6,9.355,5.648,1.973,12.005,D
Male,Yes,84.0,Yes,Entertainment,0.0,high,2.0,6,5.068,8.544,9.093,3.888,D
Male,Yes,35.0,Yes,Artist,5.0,average,2.0,6,5.859,10.949,11.348,5.137,C
Male,No,30.0,No,Executive,2.648,average,4.0,6,7.391,1.189,-0.341,9.687,D
Male,No,23.0,No,Healthcare,0.0,low,2.0,4,7.897,5.06,11.366,8.647,D
Female,No,41.0,Yes,Artist,3.0,low,3.0,6,7.607,0.774,7.457,2.183,D
Male,Yes,50.0,Yes,Executive,4.0,high,3.0,6,8.486,7.94,11.706,3.509,C
Male,Yes,50.0,Yes,Executive,0.0,high,4.0,6,7.925,4.726,3.375,5.346,A
Female,No,28.0,Yes,Homemaker,8.0,low,1.0,6,10.286,4.107,6.853,4.796,D
Female,Yes,37.0,Yes,Doctor,1.0,average,2.0,6,9.635,7.298,11.416,11.637,C
Male,No,19.0,No,Healthcare,2.648,average,6.0,6,7.765,12.122,7.084,5.226,D
Female,No,43.47,Yes,Healthcare,2.648,low,5.0,2,7.023,5.438,3.48,7.965,A
Male,Yes,43.0,No,Executive,3.0,low,2.849,6,0.569,6.766,2.082,-1.115,B
Male,Yes,73.0,No,Executive,1.0,average,2.0,4,6.959,6.177,8.4,4.039,D
Female,No,19.0,No,Healthcare,0.0,low,2.849,6,15.14,3.973,8.978,0.371,D
Male,Yes,50.0,Yes,Executive,1.0,high,3.0,6,11.064,6.609,11.974,9.677,C
Female,Yes,32.0,Yes,Artist,4.0,high,2.0,6,18.814,7.874,17.667,6.79,C
Male,No,43.0,Yes,Doctor,1.0,low,4.0,6,4.041,5.501,1.388,3.83,A
Female,No,33.0,Yes,Artist,5.0,low,2.0,4,6.844,8.579,8.092,0.171,B
Male,Yes,61.0,Yes,Artist,1.0,average,3.0,3,15.447,8.818,8.077,16.787,C
Female,Yes,70.0,Yes,Doctor,0.0,average,2.0,5,15.866,11.504,10.453,6.967,C
Male,Yes,66.0,Yes,Artist,1.0,average,2.849,6,4.857,7.382,5.631,-2.759,B
Female,Yes,72.0,Yes,Artist,0.0,low,1.0,6,10.85,10.416,10.841,11.06,C
Male,Yes,71.0,Yes,Artist,0.0,high,2.0,6,4.303,3.163,-0.501,1.117,B
Male,No,18.0,No,Healthcare,8.0,low,9.0,6,6.877,4.44,9.39,4.451,D
Male,Yes,33.0,No,Artist,1.0,average,2.0,4,0.527,4.352,4.527,-2.245,B
Male,No,28.0,Yes,Artist,9.0,average,1.0,6,3.737,6.716,0.043,3.769,A
Female,Yes,27.0,Yes,Marketing,11.0,average,2.0,6,5.413,8.683,5.505,3.547,A
Male,Yes,63.0,Yes,Artist,0.0,average,7.0,6,4.084,1.525,8.649,10.555,C
Male,Yes,70.0,Yes,Lawyer,0.0,high,3.0,6,4.702,2.264,5.764,4.411,A
Female,No,26.0,Yes,Healthcare,10.0,low,1.0,6,10.988,7.508,8.507,1.747,D
Male,Yes,36.0,No,Entertainment,1.0,low,2.0,4,5.449,4.942,4.61,1.739,A
Female,Yes,47.0,Yes,Artist,0.0,low,3.0,6,15.39,10.373,9.525,6.455,C
Male,No,28.0,No,Entertainment,9.0,low,2.0,5,7.49,3.573,5.414,4.98,A
Female,No,26.0,Yes,Entertainment,1.0,low,5.0,6,14.879,9.903,19.83,14.829,C
Male,Yes,65.0,No,Lawyer,2.648,average,2.0,3,1.138,1.13,8.612,-0.013,B
Male,No,20.0,No,Marketing,1.0,low,2.849,4,8.307,5.435,0.61,4.057,D
Male,Yes,30.0,Yes,Artist,0.0,average,2.0,6,13.683,17.899,18.173,13.334,C
Male,No,41.0,Yes,Entertainment,8.0,average,2.0,6,6.645,4.667,5.494,4.278,A
Female,No,40.0,Yes,Doctor,1.0,low,1.0,6,6.301,4.786,7.337,4.711,A
Female,Yes,47.0,No,Engineer,1.0,average,4.0,4,6.343,-0.392,1.508,-2.131,B
Male,Yes,40.0,Yes,Entertainment,2.0,average,5.0,6,7.139,3.723,9.205,-0.2,A
Female,Yes,53.0,No,Engineer,0.0,average,3.0,6,7.171,7.915,4.91,2.933,A
Female,No,28.0,Yes,Homemaker,2.648,low,2.0,4,1.566,5.102,7.882,-0.606,B
Male,Yes,60.0,Yes,Artist,1.0,low,2.0,6,6.482,5.113,9.908,6.661,A
Female,No,27.0,Yes,Artist,8.0,average,1.0,6,4.76,5.993,5.47,3.527,A
Male,Yes,43.0,Yes,Artist,2.0,low,2.0,6,5.863,-0.935,5.389,4.155,B
Female,No,33.0,Yes,Homemaker,7.0,low,3.0,2,16.993,9.308,4.464,11.363,C
Male,Yes,56.0,Yes,Entertainment,0.0,average,2.0,6,10.159,4.502,6.026,3.055,C
Male,Yes,70.0,Yes,Executive,1.0,high,2.0,6,11.9,8.284,3.873,10.943,C
Male,Yes,70.0,No,Doctor,1.0,high,2.0,6,4.031,3.267,5.815,1.048,D
Male,Yes,73.0,No,Executive,2.648,high,3.0,6,18.026,4.739,12.631,7.092,C
Female,Yes,38.0,Yes,Entertainment,2.648,average,2.0,5,4.284,5.608,3.972,4.16,A
Female,No,40.0,Yes,Engineer,6.0,low,3.0,6,10.96,5.171,2.404,8.696,D
Male,Yes,88.0,No,Executive,2.648,low,2.849,6,1.81,7.663,4.93,-2.295,D
Female,No,29.0,Yes,Healthcare,1.0,low,4.0,6,17.304,10.305,9.738,5.724,D
Male,Yes,27.0,Yes,Executive,2.648,high,2.0,6,5.272,5.474,9.478,1.656,A
Female,Yes,40.0,Yes,Engineer,0.0,average,2.0,6,2.848,4.944,4.517,-2.015,B
Male,Yes,82.0,Yes,Lawyer,1.0,average,1.0,5,6.988,8.019,1.963,1.688,A
Female,No,38.0,Yes,Artist,7.0,low,1.0,6,7.208,4.004,6.175,-1.145,B
Male,Yes,39.0,Yes,Doctor,0.0,average,3.0,6,2.988,6.4,5.127,0.26,B
Male,Yes,39.0,Yes,Artist,0.0,average,2.0,2,16.053,13.309,10.333,5.86,C
Male,No,47.0,Yes,Artist,0.0,low,1.0,6,6.455,3.316,6.028,-0.843,A
Male,Yes,75.0,Yes,Lawyer,0.0,high,2.0,6,4.34,6.723,5.18,3.509,A
Female,Yes,37.0,No,Marketing,0.0,low,4.0,6,12.538,5.217,-0.02,1.357,D
Male,Yes,84.0,No,Lawyer,1.0,high,2.0,6,5.782,6.614,5.588,4.12,A
Female,No,43.47,Yes,Entertainment,6.0,low,2.0,6,5.095,4.578,4.77,3.944,A
Male,Yes,39.0,Yes,Doctor,0.0,average,2.0,1,14.215,-1.73,3.666,7.615,D
Male,Yes,42.0,Yes,Artist,0.0,average,2.0,6,5.05,5.369,3.471,7.67,B
Female,No,52.0,Yes,Doctor,1.0,low,1.0,4,4.599,5.269,3.421,-1.766,B
Male,No,52.0,No,Artist,5.0,low,1.0,6,-2.916,6.532,2.498,-2.736,B
Male,No,31.0,Yes,Entertainment,0.0,average,4.0,6,9.576,7.364,3.73,6.573,D
Male,Yes,37.0,Yes,Marketing,1.0,average,2.0,6,8.026,4.125,9.364,3.41,D
Male,Yes,79.0,Yes,Artist,0.0,high,2.0,6,9.234,9.912,5.408,1.502,C
Female,No,28.0,Yes,Doctor,1.0,low,4.0,6,13.74,10.044,12.155,7.864,C
Male,No,31.0,No,Healthcare,0.0,average,4.0,6,6.623,9.893,9.347,4.544,D
Male,Yes,88.0,No,Executive,0.0,high,3.0,6,12.382,11.009,7.963,-6.273,D
Female,No,51.0,Yes,Entertainment,4.0,low,1.0,6,7.815,3.169,6.345,4.765,A
Male,Yes,38.0,Yes,Entertainment,2.648,low,2.0,6,-2.402,6.832,0.877,-6.253,D
Female,Yes,53.0,Yes,Artist,0.0,average,2.0,3,-1.113,4.835,1.007,2.172,B
Female,No,43.0,Yes,Artist,8.0,low,2.0,6,3.324,-0.275,4.218,1.54,B
Male,Yes,55.0,No,Executive,0.0,low,2.0,6,6.179,6.929,6.432,2.553,A
Male,No,35.0,Yes,Artist,4.0,low,2.0,6,2.62,5.037,3.443,1.204,A
Female,Yes,25.0,No,Engineer,1.0,average,2.0,4,5.485,2.184,6.703,5.29,A
Male,Yes,58.0,Yes,Artist,6.0,average,4.0,6,2.614,12.33,4.954,11.829,C
Female,No,32.0,Yes,Doctor,1.0,low,6.0,6,11.522,7.38,6.994,1.682,D
Female,Yes,49.0,No,Artist,1.0,average,4.0,3,9.689,8.258,12.125,3.327,C
Female,Yes,53.0,No,Entertainment,9.0,high,2.0,6,4.653,5.855,7.453,2.617,A
Female,Yes,31.0,No,Engineer,9.0,average,4.0,6,7.83,3.259,8.303,3.259,A
Male,No,39.0,Yes,Artist,1.0,low,2.0,6,5.687,3.051,1.922,2.039,B
Male,No,42.0,Yes,Entertainment,1.0,low,1.0,6,7.225,5.5,2.921,0.454,A
Male,No,20.0,No,Healthcare,1.0,low,5.0,2,13.287,5.256,5.917,2.334,D
Male,Yes,50.0,Yes,Entertainment,1.0,low,2.0,6,2.861,5.257,2.531,5.501,A
Male,No,26.0,No,Doctor,0.0,low,6.0,2,1.882,2.759,7.23,-2.394,B
Male,Yes,46.0,Yes,Artist,1.0,average,3.0,5,9.493,11.799,7.035,18.26,C
Male,No,30.0,Yes,Doctor,0.0,low,2.0,3,9.834,7.31,6.044,3.39,A
Female,Yes,60.0,Yes,Doctor,6.0,average,2.0,6,16.658,17.354,4.709,7.285,C
Male,Yes,84.0,No,Lawyer,0.0,low,1.0,6,9.209,3.809,-2.384,1.675,D
Female,No,37.0,Yes,Homemaker,2.648,low,1.0,6,13.948,6.347,3.548,0.627,D
Male,Yes,63.0,Yes,Artist,6.0,low,1.0,6,1.907,1.043,7.141,-1.173,B
Female,No,38.0,Yes,Healthcare,0.0,low,2.0,6,7.314,3.178,6.762,6.189,D
Male,Yes,51.0,Yes,Entertainment,0.0,average,4.0,6,6.198,3.135,10.999,5.6,C
Male,No,20.0,No,Healthcare,0.0,low,4.0,5,7.99,1.512,1.655,9.968,D
Female,No,25.0,No,Healthcare,14.0,low,3.0,6,11.659,1.953,5.756,1.772,D
Female,No,33.0,Yes,Doctor,0.0,low,5.0,6,0.01,3.676,11.611,3.818,D
Female,No,31.0,No,Engineer,0.0,low,1.0,6,5.926,4.751,1.098,4.061,D
Male,Yes,57.0,Yes,Healthcare,1.0,low,3.0,6,-2.639,0.135,0.318,1.442,B
Male,Yes,42.0,Yes,Artist,1.0,low,4.0,5,7.01,7.124,5.874,-2.376,B
Male,Yes,66.0,No,Lawyer,0.0,high,3.0,6,1.063,3.958,2.569,3.349,B
Male,No,21.0,No,Homemaker,0.0,low,4.0,3,2.791,8.96,6.469,3.17,A
Male,Yes,73.0,No,Executive,1.0,high,2.0,6,1.101,9.106,2.517,-1.71,B
Female,Yes,46.0,Yes,Artist,0.0,low,2.0,6,11.362,4.396,17.306,19.773,C
Female,Yes,66.0,Yes,Artist,0.0,average,2.0,6,7.44,8.253,8.347,9.069,C
Male,Yes,27.0,Yes,Doctor,0.0,average,2.0,5,14.504,14.256,7.827,1.814,D
Female,Yes,35.0,Yes,Homemaker,2.648,average,2.849,3,8.558,6.145,8.273,9.851,D
Female,Yes,53.0,No,Artist,1.0,high,4.0,6,6.908,0.164,6.309,8.06,A
Male,Yes,80.0,No,Lawyer,8.0,low,1.0,6,13.43,9.532,4.03,0.922,D
Female,Yes,63.0,Yes,Artist,1.0,average,3.0,6,14.949,9.376,14.133,9.092,C
Female,No,41.0,Yes,Doctor,9.0,low,1.0,4,3.475,5.144,3.957,4.999,A
Male,Yes,43.0,Yes,Artist,1.0,average,4.0,6,8.894,5.692,5.536,8.633,C
Female,No,18.0,No,Marketing,9.0,low,5.0,3,4.811,8.794,7.38,-2.697,B
Female,No,33.0,Yes,Entertainment,1.0,low,4.0,6,1.156,3.93,7.758,7.631,B
Male,No,30.0,No,Engineer,9.0,low,3.0,4,15.295,3.473,2.931,1.562,D
Male,Yes,85.0,Yes,Executive,1.0,high,2.0,6,12.771,11.128,4.217,0.821,D
Female,Yes,46.0,Yes,Artist,2.648,high,2.849,6,10.057,10.331,5.124,10.355,C
Male,Yes,80.0,Yes,Lawyer,2.648,high,2.0,6,-0.713,3.284,5.193,-2.255,B
Male,No,33.0,Yes,Artist,8.0,low,2.849,5,5.792,6.21,3.72,3.515,A
Female,Yes,43.47,Yes,Artist,4.0,high,7.0,6,7.109,8.969,3.314,14.542,C
Male,Yes,27.0,No,Entertainment,3.0,average,2.0,6,10.679,0.976,1.592,2.72,B
Male,No,28.0,No,Healthcare,0.0,low,5.0,4,1.306,2.262,0.89,-3.53,B
Female,Yes,35.0,Yes,Doctor,0.0,average,3.0,3,8.345,6.577,1.568,4.106,A
Male,No,26.0,Yes,Entertainment,1.0,low,3.0,6,6.528,4.124,4.557,-0.819,D
Female,Yes,39.0,Yes,Homemaker,2.648,average,3.0,3,4.327,8.316,6.935,2.795,A
Female,Yes,56.0,Yes,Artist,1.0,high,4.0,2,3.766,2.119,0.017,4.072,B
Female,No,26.0,Yes,Artist,13.0,low,2.0,6,-0.123,5.244,3.688,-1.896,B
Male,Yes,31.0,Yes,Entertainment,4.0,low,2.0,6,4.869,0.842,2.074,-3.029,B
Male,Yes,39.0,No,Entertainment,1.0,average,4.0,4,8.283,3.037,5.688,0.029,A
Female,No,51.0,Yes,Artist,0.0,average,1.0,6,9.859,9.353,10.26,7.315,C
Male,Yes,45.0,No,Doctor,0.0,low,4.0,4,7.765,6.338,5.376,0.628,A
Female,No,33.0,Yes,Homemaker,11.0,low,2.849,5,0.357,4.842,7.066,3.478,D
Male,Yes,62.0,No,Lawyer,0.0,low,1.0,6,13.52,1.141,20.41,6.038,C
Female,Yes,80.0,Yes,Lawyer,2.648,high,2.0,6,4.967,4.32,3.127,1.034,A
Male,Yes,77.0,Yes,Executive,1.0,low,1.0,6,7.37,-1.187,1.538,3.743,D
Female,No,43.47,No,Healthcare,2.648,low,5.0,4,12.74,4.649,4.876,5.933,D
Female,Yes,33.0,No,Engineer,7.0,average,5.0,4,1.06,-1.062,-0.374,-1.255,B
Male,No,29.0,No,Artist,1.0,low,3.0,2,4.353,5.176,6.295,6.127,A
Female,No,20.0,No,Healthcare,1.0,low,2.849,6,7.714,3.443,5.62,2.39,D
Male,Yes,43.0,Yes,Artist,1.0,low,2.0,3,-5.006,2.74,5.238,-1.95,B
Female,No,18.0,No,Healthcare,1.0,low,3.0,6,7.312,5.084,1.074,1.989,D
Male,Yes,53.0,Yes,Artist,3.0,average,3.0,6,7.098,7.729,9.745,-0.187,B
Male,Yes,28.0,Yes,Entertainment,3.0,average,3.0,7,8.746,1.708,5.899,-1.994,B
Female,No,43.0,Yes,Entertainment,1.0,low,4.0,4,6.79,7.061,2.935,4.404,A
Male,No,31.0,Yes,Entertainment,1.0,low,3.0,6,9.833,-0.941,3.146,0.794,D
Female,No,28.0,Yes,Healthcare,2.648,low,2.0,3,15.745,3.661,0.125,11.471,D
Male,Yes,65.0,Yes,Artist,1.0,low,2.0,6,7.478,5.043,3.649,3.287,A
Male,Yes,33.0,Yes,Artist,0.0,average,2.0,6,2.31,1.34,6.395,-3.227,B
Male,Yes,49.0,Yes,Artist,0.0,average,6.0,6,12.414,9.741,16.866,10.566,C
Male,No,33.0,No,Healthcare,1.0,low,4.0,6,10.565,7.473,12.513,10.688,C
Male,Yes,53.0,Yes,Artist,6.0,average,2.0,6,14.028,4.398,13.641,7.748,C
Male,No,31.0,No,Entertainment,1.0,low,7.0,4,8.726,0.973,-5.962,0.331,D
Male,No,61.0,No,Engineer,2.0,average,2.0,3,2.788,6.849,-0.549,-6.21,B
Male,No,31.0,No,Healthcare,2.648,low,7.0,6,7.906,3.765,11.735,2.946,D
Female,No,30.0,Yes,Healthcare,1.0,low,2.0,3,3.069,4.294,3.634,4.542,A
Male,Yes,63.0,Yes,Entertainment,2.648,average,2.0,6,17.065,14.978,15.196,5.416,C
Male,Yes,69.0,No,Executive,9.0,average,2.0,6,2.146,4.705,4.427,2.458,B
Male,No,29.0,Yes,Engineer,0.0,low,4.0,3,7.013,6.309,-0.019,8.892,D
Female,Yes,56.0,No,Engineer,1.0,average,5.0,5,1.929,6.708,0.056,2.272,B
Female,Yes,72.0,Yes,Artist,1.0,average,3.0,6,0.719,6.725,-0.509,1.741,B
Male,Yes,88.0,No,Lawyer,2.648,low,1.0,2,5.392,3.282,4.834,4.606,A
Male,No,30.0,No,Engineer,1.0,low,4.0,6,4.117,10.91,2.161,2.85,D
Female,No,31.0,Yes,Healthcare,1.0,low,4.0,2,2.243,3.723,-0.061,-2.751,B
Male,No,41.0,Yes,Artist,2.0,average,3.0,5,2.288,5.97,6.134,5.027,A
Female,No,31.0,Yes,Healthcare,9.0,low,7.0,5,14.58,6.565,7.886,-0.649,D
Male,No,20.0,No,Healthcare,2.648,low,5.0,3,6.611,0.052,6.358,8.501,D
Female,Yes,26.0,No,Marketing,7.0,high,3.0,4,7.623,4.954,0.775,7.584,A
Male,Yes,48.0,No,Entertainment,2.648,average,5.0,6,6.04,8.983,5.686,12.139,C
Male,No,26.0,No,Healthcare,2.648,low,2.849,5,8.419,-1.588,-0.45,0.394,D
Male,No,20.0,No,Healthcare,1.0,low,4.0,6,12.818,3.564,10.012,4.112,D
Male,Yes,41.0,Yes,Artist,4.0,low,4.0,6,2.703,2.765,6.787,4.975,A
Male,No,20.0,No,Healthcare,4.0,low,5.0,2,11.992,0.64,8.098,1.702,D
Male,Yes,63.0,Yes,Homemaker,1.0,low,3.0,5,7.148,5.443,5.894,2.931,B
Male,Yes,88.0,Yes,Executive,1.0,low,1.0,6,6.597,7.25,14.271,-4.708,D
Female,No,39.0,Yes,Engineer,2.648,low,3.0,6,3.758,3.981,7.156,1.656,B
Male,Yes,55.0,No,Engineer,1.0,high,4.0,6,6.221,3.125,2.57,1.887,A
Male,No,32.0,Yes,Healthcare,2.648,low,2.849,6,11.013,1.118,7.351,2.157,D
Male,No,32.0,Yes,Entertainment,1.0,low,2.849,6,0.892,0.438,5.878,10.28,D
Female,Yes,38.0,Yes,Artist,0.0,average,3.0,6,5.048,5.431,5.629,4.37,A
Female,Yes,62.0,Yes,Engineer,1.0,low,1.0,3,7.765,1.606,7.782,2.054,B
Male,No,18.0,No,Healthcare,1.0,average,5.0,4,11.797,3.454,6.733,1.543,D
Male,Yes,67.0,No,Executive,1.0,high,2.0,6,9.653,2.102,8.616,4.194,D
Female,Yes,42.0,Yes,Artist,9.0,low,2.0,6,7.228,5.31,5.709,7.656,B
Female,No,45.0,Yes,Engineer,0.0,low,1.0,6,10.107,5.489,1.021,0.211,A
Male,Yes,46.0,No,Doctor,0.0,average,3.0,4,12.382,7.924,7.126,-3.379,D
Male,No,20.0,No,Healthcare,2.0,low,4.0,4,9.793,5.973,7.565,-1.027,D
Female,Yes,41.0,Yes,Engineer,0.0,average,3.0,5,7.275,7.433,5.772,1.874,A
Female,Yes,35.0,No,Engineer,7.0,average,4.0,4,6.576,-0.837,2.652,1.968,A
Female,Yes,52.0,Yes,Artist,6.0,low,2.0,6,4.412,3.851,4.862,6.045,A
Female,Yes,63.0,Yes,Artist,1.0,average,4.0,6,7.689,3.684,2.798,1.104,B
Male,Yes,51.0,No,Executive,5.0,low,3.0,2,12.525,7.534,5.974,4.993,C
Female,Yes,29.0,Yes,Entertainment,0.0,average,2.0,6,6.401,1.856,6.524,2.373,A
Male,No,27.0,No,Doctor,0.0,low,4.0,6,0.822,3.222,0.889,-0.599,B
Female,No,37.0,Yes,Doctor,1.0,low,1.0,4,4.515,7.296,4.569,1.893,A
Female,Yes,29.0,No,Homemaker,2.648,average,2.0,4,4.392,4.639,8.43,0.704,C
Female,No,50.0,Yes,Artist,0.0,low,2.0,6,7.765,7.555,4.806,2.616,A
Male,Yes,74.0,Yes,Lawyer,1.0,low,1.0,6,6.185,9.186,-0.341,4.093,A
Female,Yes,72.0,Yes,Artist,3.0,average,3.0,6,13.526,11.022,6.194,6.349,C
Female,Yes,83.0,Yes,Lawyer,1.0,high,2.0,6,0.915,0.928,6.931,1.414,B
Male,Yes,37.0,Yes,Engineer,1.0,average,3.0,3,4.809,8.043,4.28,5.98,A
Female,No,19.0,No,Healthcare,0.0,low,3.0,6,12.592,2.368,9.81,2.486,D
Female,No,30.0,No,Artist,1.0,low,1.0,6,0.855,3.773,5.247,1.72,B
Female,No,43.47,Yes,Engineer,1.0,average,2.0,1,-2.953,7.09,5.723,-0.468,B
Female,Yes,65.0,Yes,Doctor,1.0,low,2.0,6,1.214,4.118,5.177,-0.667,B
Female,Yes,43.47,Yes,Lawyer,1.0,average,2.0,6,19.285,4.891,16.014,7.71,C
Male,Yes,43.0,Yes,Entertainment,0.0,average,2.0,5,4.71,4.94,6.03,5.912,A
Male,Yes,50.0,Yes,Executive,9.0,average,3.0,2,12.496,15.366,14.029,22.597,C
Male,No,35.0,Yes,Artist,8.0,low,2.0,6,11.353,13.273,2.989,7.485,D
Male,Yes,67.0,Yes,Lawyer,0.0,low,1.0,3,5.502,6.764,8.08,4.497,A
Male,Yes,66.0,Yes,Executive,0.0,low,1.0,6,-1.535,2.777,10.945,-3.21,B
Female,No,39.0,Yes,Artist,3.0,low,2.0,6,10.237,5.46,15.298,8.298,C
Female,Yes,46.0,Yes,Homemaker,0.0,average,2.849,6,12.264,6.2,8.91,14.194,C
Female,No,32.0,No,Homemaker,8.0,low,1.0,6,2.732,7.408,10.349,6.688,D
Male,Yes,88.0,Yes,Lawyer,0.0,high,3.0,6,3.973,6.771,15.16,7.327,C
Male,No,30.0,Yes,Healthcare,8.0,low,5.0,6,1.983,5.847,9.534,8.613,D
Male,No,32.0,Yes,Entertainment,1.0,low,1.0,6,6.97,2.241,6.453,-0.279,A
Male,Yes,43.0,No,Marketing,1.0,low,2.0,7,13.872,-4.749,7.719,7.974,D
Female,Yes,55.0,No,Engineer,3.0,average,2.0,6,6.198,9.086,0.344,-0.41,B
Female,Yes,47.0,Yes,Artist,0.0,average,3.0,6,17.796,-0.078,11.211,9.613,C
Male,No,39.0,Yes,Artist,2.648,low,1.0,6,13.034,13.02,6.819,5.176,C
Male,No,22.0,No,Healthcare,0.0,low,4.0,6,9.041,9.861,5.902,8.901,D
Female,No,31.0,No,Healthcare,0.0,low,7.0,6,4.887,3.856,-0.628,0.126,B
Male,No,27.0,Yes,Healthcare,2.648,average,3.0,2,5.26,2.984,9.721,1.092,D
Male,No,19.0,No,Healthcare,0.0,low,4.0,6,7.127,11.893,13.115,0.4,D
Male,Yes,69.0,No,Doctor,0.0,average,2.0,6,13.488,13.568,3.856,-7.357,C
Male,Yes,37.0,No,Doctor,2.648,average,2.0,6,2.652,6.054,2.567,-0.746,B
Male,Yes,45.0,Yes,Executive,0.0,high,2.0,6,3.814,11.318,14.489,6.477,C
Female,No,22.0,No,Doctor,1.0,low,3.0,3,7.267,6.804,4.542,1.524,A
Female,No,26.0,Yes,Doctor,0.0,low,3.0,6,3.5,1.164,5.666,-2.422,B
Male,Yes,61.0,Yes,Entertainment,1.0,low,2.0,5,5.69,6.93,8.793,3.071,A
Female,Yes,74.0,No,Lawyer,1.0,average,2.0,6,14.635,-2.359,10.639,10.985,C
Male,No,29.0,Yes,Homemaker,5.0,low,1.0,6,18.254,9.239,-2.89,8.373,D
Male,No,36.0,No,Executive,0.0,low,3.0,6,7.765,5.221,-1.326,-0.513,D
Female,No,63.0,Yes,Doctor,0.0,low,2.0,6,7.824,1.859,4.887,-0.927,B
Male,Yes,43.47,Yes,Artist,0.0,average,5.0,3,7.292,9.073,8.623,12.566,C
Female,No,35.0,Yes,Artist,12.0,low,2.0,6,6.381,2.824,4.199,-4.105,B
Male,Yes,81.0,Yes,Lawyer,1.0,low,1.0,6,8.78,3.768,3.016,2.958,A
Female,Yes,71.0,No,Lawyer,1.0,high,2.0,6,1.664,6.077,8.456,1.687,B
Female,No,31.0,No,Healthcare,10.0,low,2.0,3,5.309,5.225,11.294,15.96,C
Male,Yes,35.0,No,Homemaker,1.0,average,3.0,6,1.225,3.761,1.235,0.636,B
Female,No,52.0,Yes,Artist,6.0,low,1.0,6,4.511,4.321,6.104,3.16,A
Male,No,19.0,No,Healthcare,2.648,low,4.0,3,8.977,12.131,8.681,1.842,D
Female,No,39.0,Yes,Artist,0.0,low,1.0,5,5.468,3.78,0.614,3.147,B
Male,Yes,45.0,No,Artist,0.0,low,2.0,5,2.701,0.281,3.499,0.526,B
Female,No,19.0,No,Marketing,1.0,low,4.0,6,12.234,9.868,2.014,-0.052,D
Male,No,23.0,No,Healthcare,2.0,low,5.0,6,16.408,10.813,8.797,4.574,D
Male,Yes,77.0,No,Lawyer,0.0,average,2.0,6,6.948,3.134,10.892,-0.06,D
Female,Yes,84.0,Yes,Lawyer,0.0,low,1.0,6,3.906,4.046,5.128,1.163,B
Male,Yes,47.0,No,Entertainment,1.0,high,4.0,4,4.14,4.983,12.426,9.837,D
Male,No,29.0,Yes,Entertainment,6.0,low,3.0,6,6.309,5.88,4.417,1.693,A
Female,No,35.0,Yes,Artist,8.0,low,3.0,2,6.846,4.506,4.253,6.417,A
Male,Yes,40.0,Yes,Artist,14.0,low,2.0,6,10.756,7.282,10.778,10.611,C
Male,No,35.0,No,Healthcare,1.0,low,1.0,6,13.484,4.918,-1.556,2.087,D
Male,No,20.0,No,Healthcare,0.0,low,3.0,2,2.47,4.597,8.229,9.363,D
Male,No,43.0,Yes,Entertainment,0.0,low,2.0,2,3.901,3.731,0.855,3.234,A
Female,Yes,53.0,Yes,Artist,3.0,low,1.0,7,4.552,5.809,7.146,4.531,A
Male,Yes,22.0,No,Executive,1.0,high,3.0,6,7.192,5.59,5.26,1.811,D
Male,Yes,32.0,No,Healthcare,1.0,high,4.0,4,7.58,10.495,-2.332,1.262,D
Male,Yes,51.0,No,Executive,2.0,high,5.0,6,7.564,5.407,2.742,3.562,A
Female,No,41.0,No,Marketing,1.0,low,2.849,3,4.001,4.378,14.807,-0.808,D
Male,Yes,37.0,No,Doctor,2.0,average,4.0,6,8.879,5.682,4.201,0.111,A
Male,Yes,55.0,Yes,Artist,4.0,average,4.0,6,5.157,6.431,6.951,1.252,A
Male,No,42.0,Yes,Entertainment,3.0,low,2.0,6,7.657,4.287,7.46,7.399,A
Male,No,20.0,No,Healthcare,1.0,low,5.0,4,0.081,-5.02,2.298,3.527,D
Female,No,42.0,Yes,Artist,12.0,low,2.0,4,8.213,7.268,3.955,3.232,A
Female,Yes,38.0,No,Engineer,1.0,high,2.849,6,6.466,7.953,0.811,-0.226,B
Female,No,52.0,Yes,Engineer,3.0,low,1.0,6,8.938,5.894,5.139,-0.494,A
Female,Yes,48.0,Yes,Marketing,9.0,low,1.0,6,8.164,11.201,5.355,11.667,D
Male,Yes,43.47,Yes,Entertainment,5.0,average,2.0,6,18.94,5.484,10.302,7.24,C
Male,No,27.0,No,Doctor,1.0,low,3.0,6,4.685,6.382,3.626,-0.427,B
Male,Yes,48.0,No,Artist,3.0,average,4.0,6,4.819,5.375,3.936,0.404,B
Female,No,25.0,Yes,Marketing,5.0,low,2.0,4,3.297,3.212,4.026,2.936,D
Female,No,43.47,Yes,Doctor,3.0,low,1.0,6,5.049,6.794,5.065,2.083,A
Female,Yes,68.0,No,Lawyer,1.0,low,1.0,6,14.573,6.422,4.232,2.187,D
Male,No,21.0,No,Healthcare,0.0,low,4.0,6,10.153,5.813,2.602,4.54,D
Female,No,72.0,No,Lawyer,8.0,average,2.0,6,9.686,5.12,6.97,0.039,D
Male,No,43.0,Yes,Artist,1.0,low,2.0,2,3.601,8.11,4.493,-1.919,B
